LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_PAID,AUGUST_PAID,JULY_PAID,JUNE_PAID,MAY_PAID,APRIL_PAID,DEFAULTED
250000,2,3,3,34,9,9,7,9,9,9,17994,0,5469,5656,6811,3920,0
60000,2,2,3,46,9,9,9,9,9,9,3000,1500,1500,1000,1500,1500,0
110000,2,3,2,27,9,9,9,9,9,9,5500,3900,3000,2900,3000,2800,0
370000,1,3,2,50,11,11,11,11,11,11,15383,8204,15413,4792,13453,4699,0
100000,1,2,3,27,10,7,7,9,9,9,3166,0,1330,1398,12,50000,0
90000,2,2,3,35,9,9,9,9,9,7,3500,3500,3652,10000,4000,0,0
50000,2,2,2,22,9,9,9,9,9,9,1510,1442,982,1017,1277,567,0
270000,1,2,2,37,9,9,9,9,9,9,5000,2000,3000,4000,3000,2000,0
300000,2,3,2,30,10,10,10,10,10,10,3288,0,4340,2672,800,746,0
50000,2,2,2,22,10,9,9,9,9,9,15000,1000,149,0,5000,10000,0
50000,2,3,2,24,8,11,11,11,11,11,0,0,0,0,0,0,1
360000,1,3,2,29,8,11,10,10,11,11,0,77,0,0,0,0,0
130000,1,1,3,56,8,7,7,7,7,6,3000,3000,3000,5500,0,0,1
80000,1,3,2,30,11,10,9,9,9,9,504,500,1000,500,3500,0,0
50000,1,2,2,30,8,7,9,9,9,7,0,1500,1000,2000,0,2000,0
20000,2,2,2,22,9,9,9,9,9,9,1212,1201,500,1500,1500,1000,0
80000,2,2,3,29,9,9,7,9,9,9,5800,1000,600,400,1000,0,0
240000,1,3,2,37,10,10,7,9,9,10,15000,0,2000,0,1256,65935,0
80000,2,1,2,35,9,10,9,9,9,9,12500,6500,3000,2000,3000,2000,0
500000,2,3,3,47,9,9,9,9,9,9,70010,30357,30000,20000,52183,20000,0
60000,2,2,3,24,9,9,9,9,9,9,2500,1600,3000,1000,737,2000,1
20000,1,2,2,25,9,9,9,9,9,10,1200,1593,601,135,1824,0,0
100000,2,2,3,38,8,7,9,9,7,9,0,1600,1500,0,1000,1500,1
360000,2,3,2,32,8,10,10,10,10,10,57087,5295,68454,13889,16250,38313,0
200000,2,1,2,47,7,7,7,7,7,7,8214,7000,6800,7134,0,6836,1
130000,2,2,3,34,8,10,9,9,9,9,5396,5000,3500,501,1000,2000,0
20000,2,2,2,31,8,4,5,5,6,7,0,1000,0,0,760,0,0
310000,1,3,2,32,9,9,9,9,9,9,10020,6031,10057,5028,5060,4223,0
60000,2,3,2,27,7,9,9,9,7,9,1342,1664,2000,0,900,846,1
180000,2,3,2,29,10,10,10,11,10,9,199,0,0,17227,341,5114,0
180000,2,3,2,24,10,10,7,9,9,11,37867,0,200,0,0,0,0
50000,1,2,3,36,9,9,9,9,10,10,2000,1000,2000,500,1000,20011,0
50000,2,3,2,24,8,7,7,7,7,7,1900,1400,1700,1532,1600,0,1
150000,2,2,3,34,11,11,11,11,11,11,0,0,116,0,1500,0,0
20000,2,3,2,22,9,9,9,9,10,9,1500,1032,541,20000,693,1000,0
500000,2,3,3,34,11,11,11,10,10,10,138,2299,1251,1206,1151,15816,0
30000,2,1,2,22,8,7,7,9,9,9,1000,85,1714,104,0,0,1
180000,2,3,3,38,11,11,11,11,11,11,0,0,0,0,0,0,0
140000,1,3,2,31,9,9,7,9,9,7,25000,0,3000,7800,0,2500,0
140000,2,3,2,26,10,9,10,10,10,10,10000,13001,5841,13506,487,7004,0
120000,1,2,2,26,9,9,9,9,9,9,5000,5000,4152,5000,5000,5000,0
360000,2,2,3,48,9,9,9,9,9,9,9100,7300,5800,5600,5600,4100,0
20000,1,1,3,43,10,10,9,9,9,9,22359,1305,1258,1459,3457,1700,0
100000,1,3,3,47,10,10,10,10,10,10,1473,390,390,390,0,2380,0
210000,2,2,3,41,10,10,10,10,10,10,1586,343,3763,877,0,419,1
80000,2,2,2,24,9,9,9,9,9,9,3200,3000,2038,2000,1800,1800,1
330000,2,3,3,50,10,10,10,10,11,11,4345,2854,1702,0,1709,258,0
220000,1,3,2,24,9,9,9,10,10,10,5000,5050,8303,0,85632,0,0
210000,2,3,3,38,8,11,10,9,10,10,0,250,0,789,1222,9616,1
40000,2,1,3,43,9,9,9,9,9,9,1700,1504,1200,1500,1500,1000,0
30000,1,2,2,39,9,9,9,7,9,9,3036,2309,0,1000,2000,148,0
470000,1,2,2,27,7,7,7,7,9,9,13000,11001,0,10484,10838,10367,0
30000,1,1,3,42,10,10,10,10,10,7,390,390,240,1470,0,0,0
240000,2,2,3,36,8,11,11,11,11,11,0,0,0,0,0,0,1
80000,1,2,2,36,7,9,9,9,9,9,3100,3500,3400,3000,3500,3000,0
110000,2,1,4,31,9,9,9,9,9,9,4000,5000,3000,3000,3000,8954,0
310000,2,3,2,38,10,10,10,10,11,11,4542,126,0,0,0,0,0
360000,2,3,3,40,7,7,7,9,9,9,12000,0,5900,5000,4500,4700,1
330000,2,1,2,45,9,9,9,9,9,9,12388,12378,12116,12450,12213,11678,0
300000,2,2,2,35,9,9,9,9,9,9,12019,9006,17000,12000,9557,15000,0
320000,2,2,2,33,9,9,9,9,9,9,10042,18832,2117,2076,5045,3754,0
50000,2,1,2,37,8,6,7,9,9,9,0,24,1500,1000,1201,30592,1
170000,2,3,2,28,9,9,9,9,9,9,6530,4860,22500,4820,4877,4962,0
350000,1,1,3,44,10,10,10,10,10,11,2686,1864,569,0,0,0,0
20000,1,2,3,37,9,9,9,9,9,9,1609,3000,663,676,834,782,0
50000,1,2,2,23,7,9,9,9,9,9,2401,2254,2004,704,707,1004,1
20000,2,1,2,24,8,7,9,9,9,9,0,1333,500,100,0,3200,0
50000,2,3,2,24,9,9,9,9,9,9,2090,2002,1002,238,1011,389,0
20000,1,2,2,23,8,7,9,9,7,9,0,1200,1000,0,1000,10000,1
50000,1,2,3,26,9,9,11,10,10,9,0,0,2624,45567,1747,2000,0
190000,1,2,2,34,7,9,9,9,7,7,5000,5000,10000,0,12118,2769,1
60000,2,2,3,33,9,9,9,9,9,9,1506,1298,1000,721,811,599,0
80000,1,3,2,35,10,10,10,10,10,10,3983,6853,1719,1378,19942,2418,0
150000,2,2,2,27,9,9,9,9,9,9,4500,1745,1566,1208,1077,2529,0
210000,2,3,2,31,11,11,11,11,10,10,0,7422,893,6082,2293,3299,0
240000,2,1,3,50,9,9,9,9,9,9,10116,9150,8008,8000,8009,7714,1
140000,2,2,1,41,9,9,9,9,9,9,3000,2000,2198,1000,3000,2399,1
60000,2,3,2,28,8,7,7,11,11,10,0,0,0,0,2285,0,0
50000,1,3,2,39,9,9,9,9,9,9,1800,2000,3000,2000,2000,2000,0
50000,2,2,2,27,9,9,9,9,9,9,1800,1750,900,1200,1200,1100,0
180000,2,3,2,32,10,10,7,7,10,10,2821,0,0,2821,0,176,0
30000,2,3,2,40,10,10,7,7,7,7,355,120,0,0,60,60,0
20000,2,2,2,40,9,9,9,9,9,11,1601,2203,2114,0,0,0,0
250000,2,2,3,75,9,10,10,10,10,10,1631,1536,1010,5572,794,1184,0
100000,2,2,2,27,9,9,9,9,9,9,1788,1799,1100,1150,2423,0,0
330000,1,3,2,25,9,9,9,9,7,9,2504,4007,5056,74,1023,2566,0
50000,1,1,3,46,9,9,9,9,9,9,1561,1268,587,611,1000,2000,0
50000,2,2,2,26,8,7,7,9,9,9,1710,136,1206,2002,2005,3003,0
30000,1,2,2,28,9,9,9,9,9,9,5006,1244,851,955,0,0,0
140000,2,2,2,26,9,9,9,9,9,9,5366,5087,3605,3894,3785,3304,1
160000,2,3,2,28,9,9,9,9,10,9,7042,2000,1000,99669,12600,10000,0
400000,2,2,2,29,10,9,10,10,10,10,3127,1469,4968,1905,2494,862,0
50000,1,2,3,25,9,9,9,9,9,9,1565,1393,980,994,1024,886,0
140000,2,2,3,48,9,10,10,10,10,10,1233,1075,1355,1130,21361,1347,0
160000,2,2,3,33,10,10,10,10,9,10,2453,9880,52572,1546,2210,0,0
100000,2,1,3,43,9,9,11,11,11,11,0,0,0,0,0,0,0
220000,1,3,3,48,7,9,9,9,9,9,10000,9020,6000,5500,6000,5500,1
510000,2,3,2,29,9,9,9,9,9,9,40010,20094,5000,5001,25365,65000,0
50000,1,2,2,29,9,9,9,9,9,9,1602,1400,3000,3130,1062,6318,0
160000,2,3,3,38,10,10,10,10,7,10,4664,5969,18941,0,12652,1916,0
230000,2,3,2,37,11,11,11,11,11,11,51315,0,0,299,338,0,0
80000,2,3,2,37,10,10,10,10,10,10,258,5995,188,1644,16872,4000,0
150000,2,2,3,25,10,10,11,10,10,10,0,0,316,316,316,316,0
10000,1,1,2,23,9,9,9,9,9,7,1134,1298,478,847,0,175,0
130000,2,1,2,49,9,9,9,9,9,9,4100,3095,1630,561,600,0,1
40000,2,3,2,48,9,9,9,9,9,9,1600,1600,1500,1500,1500,1500,0
50000,1,2,2,27,6,7,7,9,9,10,1700,0,426,501,2614,1390,1
100000,1,1,2,32,9,9,9,9,9,9,2035,2004,616,2007,1009,2015,0
120000,1,3,3,34,10,7,10,9,9,9,0,1350,0,0,0,450,0
260000,2,3,2,58,8,11,11,11,11,11,0,0,0,0,0,0,1
200000,2,2,2,33,9,9,9,9,9,9,2000,1322,2000,2000,1200,3000,0
360000,2,2,2,28,11,11,11,11,11,11,0,0,0,0,0,0,1
70000,2,2,2,36,9,9,9,9,9,9,4483,12496,3268,3000,3000,2000,0
460000,1,3,3,40,7,10,10,10,10,10,2728,0,2654,0,22545,0,1
50000,2,3,2,26,10,10,10,10,10,10,316,316,316,316,316,316,0
50000,1,1,3,33,9,9,9,9,9,9,2007,2199,691,707,703,697,0
250000,2,2,3,31,9,9,9,9,9,9,4000,4500,5000,4000,5000,4400,0
30000,2,3,2,27,9,9,10,9,9,11,1000,664,1500,0,0,0,0
270000,1,2,3,44,9,9,9,9,10,10,10063,5162,10150,44299,43509,31031,0
180000,2,1,2,30,9,9,9,9,9,9,7722,6091,3563,3605,3000,3211,0
100000,2,3,2,28,9,9,9,9,9,9,4173,3000,2025,5000,3000,3000,0
230000,2,1,3,32,9,9,9,9,9,9,5000,5000,5000,5000,4000,5000,0
210000,2,3,3,46,10,10,10,10,10,10,41986,21874,20076,16171,586,19777,0
210000,1,3,2,38,7,9,9,9,9,9,3276,2026,2000,2000,2000,2502,0
440000,2,2,3,46,9,9,9,9,9,9,8610,6907,3727,3800,4001,2701,0
100000,2,2,2,25,7,9,9,9,9,9,3472,2092,2000,2127,1960,1559,1
240000,2,2,3,46,9,9,9,9,9,9,1295,1000,1000,1000,1000,1000,0
280000,1,3,2,33,10,10,10,10,10,10,898,325,898,325,0,345293,1
50000,2,2,2,22,8,11,11,11,11,11,0,0,0,0,0,0,1
30000,1,2,3,43,6,7,7,7,7,7,1100,0,300,0,600,0,0
10000,1,2,2,27,9,9,7,9,9,9,3507,0,500,370,393,700,1
130000,1,3,2,29,8,11,11,11,11,11,0,0,0,0,0,1500,0
200000,1,3,2,31,9,9,9,9,9,9,9000,7465,4715,4804,5141,5300,0
120000,2,2,3,29,10,10,10,10,10,10,657,2319,1423,0,1820,2496,0
210000,2,2,3,36,9,9,9,9,9,9,6483,5082,6000,5900,4544,4700,0
280000,2,3,3,36,9,9,9,9,9,9,2755,3463,1300,1100,1100,2000,0
300000,1,3,2,34,8,11,10,9,10,10,0,13001,0,19595,203,0,1
100000,1,2,2,37,9,9,9,9,9,9,3490,2332,2314,2365,2497,2305,0
440000,2,3,2,36,11,11,11,11,11,11,0,0,0,0,162000,0,0
50000,2,1,3,40,9,9,9,9,9,9,2400,1206,1000,1000,1000,1000,0
20000,2,3,2,25,9,9,7,9,9,9,2800,0,4000,1700,1000,2000,1
200000,2,3,2,27,10,10,10,9,9,9,665,960,3908,1014,3500,2880,0
110000,2,2,2,26,11,11,11,11,11,11,3220,5904,0,3000,0,0,0
500000,2,2,3,36,10,10,10,10,10,10,23962,0,8500,4590,0,0,0
300000,2,2,3,27,8,10,10,11,11,11,5215,0,0,0,0,0,0
30000,1,1,3,55,7,7,7,6,6,5,1200,1200,2000,1500,1500,1500,1
60000,2,3,2,27,10,10,10,10,10,10,13809,14583,4889,273,13557,0,0
400000,2,2,3,38,10,9,10,10,9,10,1000,1354,5322,6,2386,9085,0
180000,2,2,3,34,9,9,9,9,9,9,7000,5000,5000,4900,5000,5100,0
20000,1,3,2,40,9,9,9,7,9,9,3000,3100,0,3000,1500,0,0
200000,2,1,3,49,10,7,7,7,9,9,0,6000,0,5000,2286,3000,1
100000,1,3,2,27,9,9,9,9,9,9,1631,1286,200,645,909,200,0
60000,1,2,2,23,9,9,9,9,9,9,1970,2000,618,809,2000,616,1
110000,2,2,2,36,9,9,9,9,9,9,2200,2500,2000,2100,2500,2200,0
260000,2,1,3,53,8,10,10,11,11,10,165,526,452,397,485,459,0
50000,2,1,3,46,6,7,7,9,9,9,3754,1,1070,1030,863,654,0
180000,1,2,2,29,8,11,11,11,11,11,0,0,0,0,0,0,0
110000,1,2,2,29,8,7,7,9,9,9,2500,0,2000,2000,1854,2000,1
340000,2,3,2,27,9,9,9,9,9,9,21105,5461,5000,5849,2732,50000,0
50000,1,2,2,24,10,9,9,9,9,9,1070,1500,3666,2477,1306,1000,0
230000,2,2,3,28,9,9,9,11,10,10,1710,1100,1000,767,6173,1000,1
360000,2,2,2,32,9,9,9,9,9,9,10000,7000,10000,10000,10000,10000,0
210000,1,2,2,43,8,11,10,9,9,9,0,38013,3000,5000,3000,3000,0
220000,2,2,3,41,10,7,7,10,7,10,325,0,950,0,325,325,1
60000,2,2,3,34,7,7,7,7,7,9,3800,0,3720,0,1300,1291,1
340000,1,2,3,55,11,10,10,11,11,11,44665,8321,2190,24599,7416,77195,0
150000,1,3,3,40,7,7,7,7,7,7,5200,0,8100,4000,4200,4200,0
200000,2,2,3,37,8,10,7,10,10,10,1000,0,6900,24000,17000,2500,1
130000,2,2,2,40,9,9,7,9,9,9,3000,0,500,500,2700,500,1
60000,2,3,2,28,8,7,9,9,9,9,0,1483,673,10000,11540,7000,0
400000,2,2,3,43,8,11,11,11,10,10,0,0,0,1600,78388,0,0
20000,1,3,2,27,9,9,9,9,9,9,1323,1600,830,700,674,376,0
