LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,DEFAULTED
400000,2,2,3,44,0
50000,2,1,2,49,0
160000,1,2,2,33,0
360000,2,3,3,45,1
160000,2,2,2,32,0
130000,2,3,3,35,0
20000,1,1,2,44,0
200000,1,3,3,53,1
280000,2,3,2,39,0
100000,2,3,2,27,0
160000,2,2,3,37,0
60000,2,2,2,23,0
90000,1,2,2,35,0
360000,1,3,3,43,0
150000,1,3,2,27,0
50000,2,1,3,22,0
20000,1,2,3,38,1
140000,1,3,2,32,0
380000,2,3,2,30,0
480000,1,3,3,63,0
50000,2,1,2,22,1
60000,2,2,2,26,0
70000,2,2,2,24,0
80000,2,2,3,36,0
350000,1,3,2,52,0
130000,1,2,2,38,0
360000,1,2,3,35,0
330000,2,3,3,31,0
50000,1,1,3,47,0
280000,1,2,3,41,0
100000,2,3,2,24,0
50000,1,2,2,41,0
30000,1,3,2,24,1
240000,1,3,2,28,0
80000,1,2,2,26,1
400000,1,2,3,34,0
240000,2,2,2,38,0
50000,1,1,2,37,1
450000,1,3,3,40,1
110000,2,3,3,48,0
310000,2,2,3,35,1
20000,1,3,2,27,0
20000,1,2,2,23,0
200000,1,1,2,52,0
180000,1,3,3,36,1
50000,1,2,3,51,1
60000,1,1,3,55,0
30000,2,3,2,23,0
240000,1,3,2,41,0
420000,1,2,3,34,0
330000,1,1,3,46,0
30000,2,2,2,22,0
240000,1,2,3,34,0
150000,1,3,2,27,0
210000,2,2,3,33,0
50000,2,1,3,51,1
50000,1,3,2,24,0
240000,1,3,2,47,1
180000,1,2,2,28,0
50000,1,2,2,23,0
170000,1,2,2,29,0
20000,1,3,2,29,0
50000,1,3,2,28,0
170000,2,2,2,27,1
200000,1,3,2,34,0
80000,2,2,3,23,0
260000,2,3,3,60,0
140000,1,2,3,32,0
80000,1,3,2,25,0
350000,1,3,2,41,0
280000,2,2,3,56,0
30000,2,1,2,26,0
140000,1,3,3,34,0
200000,2,3,2,37,0
200000,2,1,2,30,0
210000,1,1,3,45,1
50000,1,1,3,57,0
30000,1,3,2,41,0
50000,1,2,2,27,0
290000,1,1,3,47,0
250000,2,3,3,34,0
60000,2,2,3,46,0
110000,2,3,2,27,0
370000,1,3,2,50,0
100000,1,2,3,27,0
90000,2,2,3,35,0
50000,2,2,2,22,0
270000,1,2,2,37,0
300000,2,3,2,30,0
50000,2,2,2,22,0
50000,2,3,2,24,1
360000,1,3,2,29,0
130000,1,1,3,56,1
80000,1,3,2,30,0
50000,1,2,2,30,0
20000,2,2,2,22,0
80000,2,2,3,29,0
240000,1,3,2,37,0
80000,2,1,2,35,0
500000,2,3,3,47,0
60000,2,2,3,24,1
20000,1,2,2,25,0
100000,2,2,3,38,1
360000,2,3,2,32,0
200000,2,1,2,47,1
130000,2,2,3,34,0
20000,2,2,2,31,0
310000,1,3,2,32,0
60000,2,3,2,27,1
180000,2,3,2,29,0
180000,2,3,2,24,0
50000,1,2,3,36,0
50000,2,3,2,24,1
150000,2,2,3,34,0
20000,2,3,2,22,0
500000,2,3,3,34,0
30000,2,1,2,22,1
180000,2,3,3,38,0
140000,1,3,2,31,0
140000,2,3,2,26,0
120000,1,2,2,26,0
360000,2,2,3,48,0
20000,1,1,3,43,0
100000,1,3,3,47,0
210000,2,2,3,41,1
80000,2,2,2,24,1
330000,2,3,3,50,0
220000,1,3,2,24,0
210000,2,3,3,38,1
40000,2,1,3,43,0
30000,1,2,2,39,0
470000,1,2,2,27,0
30000,1,1,3,42,0
240000,2,2,3,36,1
80000,1,2,2,36,0
110000,2,1,4,31,0
310000,2,3,2,38,0
360000,2,3,3,40,1
330000,2,1,2,45,0
300000,2,2,2,35,0
320000,2,2,2,33,0
50000,2,1,2,37,1
170000,2,3,2,28,0
350000,1,1,3,44,0
20000,1,2,3,37,0
50000,1,2,2,23,1
20000,2,1,2,24,0
50000,2,3,2,24,0
20000,1,2,2,23,1
50000,1,2,3,26,0
190000,1,2,2,34,1
60000,2,2,3,33,0
80000,1,3,2,35,0
150000,2,2,2,27,0
210000,2,3,2,31,0
240000,2,1,3,50,1
140000,2,2,1,41,1
60000,2,3,2,28,0
50000,1,3,2,39,0
50000,2,2,2,27,0
180000,2,3,2,32,0
30000,2,3,2,40,0
20000,2,2,2,40,0
250000,2,2,3,75,0
100000,2,2,2,27,0
330000,1,3,2,25,0
50000,1,1,3,46,0
50000,2,2,2,26,0
30000,1,2,2,28,0
140000,2,2,2,26,1
160000,2,3,2,28,0
400000,2,2,2,29,0
50000,1,2,3,25,0
140000,2,2,3,48,0
160000,2,2,3,33,0
100000,2,1,3,43,0
220000,1,3,3,48,1
510000,2,3,2,29,0
50000,1,2,2,29,0
160000,2,3,3,38,0
230000,2,3,2,37,0
80000,2,3,2,37,0
150000,2,2,3,25,0
10000,1,1,2,23,0
130000,2,1,2,49,1
40000,2,3,2,48,0
50000,1,2,2,27,1
100000,1,1,2,32,0
120000,1,3,3,34,0
260000,2,3,2,58,1
200000,2,2,2,33,0
360000,2,2,2,28,1
70000,2,2,2,36,0
460000,1,3,3,40,1
50000,2,3,2,26,0
50000,1,1,3,33,0
250000,2,2,3,31,0
30000,2,3,2,27,0
270000,1,2,3,44,0
180000,2,1,2,30,0
100000,2,3,2,28,0
230000,2,1,3,32,0
210000,2,3,3,46,0
210000,1,3,2,38,0
440000,2,2,3,46,0
100000,2,2,2,25,1
240000,2,2,3,46,0
280000,1,3,2,33,1
50000,2,2,2,22,1
30000,1,2,3,43,0
10000,1,2,2,27,1
130000,1,3,2,29,0
200000,1,3,2,31,0
120000,2,2,3,29,0
210000,2,2,3,36,0
280000,2,3,3,36,0
300000,1,3,2,34,1
100000,1,2,2,37,0
440000,2,3,2,36,0
50000,2,1,3,40,0
20000,2,3,2,25,1
200000,2,3,2,27,0
110000,2,2,2,26,0
500000,2,2,3,36,0
300000,2,2,3,27,0
30000,1,1,3,55,1
60000,2,3,2,27,0
400000,2,2,3,38,0
180000,2,2,3,34,0
20000,1,3,2,40,0
200000,2,1,3,49,1
100000,1,3,2,27,0
60000,1,2,2,23,1
110000,2,2,2,36,0
260000,2,1,3,53,0
50000,2,1,3,46,0
180000,1,2,2,29,0
110000,1,2,2,29,1
340000,2,3,2,27,0
50000,1,2,2,24,0
230000,2,2,3,28,1
360000,2,2,2,32,0
210000,1,2,2,43,0
220000,2,2,3,41,1
60000,2,2,3,34,1
340000,1,2,3,55,0
150000,1,3,3,40,0
200000,2,2,3,37,1
130000,2,2,2,40,1
60000,2,3,2,28,0
400000,2,2,3,43,0
20000,1,3,2,27,0
190000,2,3,2,28,0
260000,2,3,2,30,0
140000,2,2,2,31,0
50000,2,2,3,31,1
120000,2,3,2,34,0
240000,2,2,2,30,0
50000,1,2,2,36,0
200000,2,3,2,29,0
180000,1,3,3,39,0
180000,2,3,2,26,0
160000,2,3,2,29,0
100000,2,2,2,26,0
50000,2,2,2,29,1
140000,2,2,2,31,0
30000,2,2,2,26,1
90000,1,3,2,26,0
200000,1,3,3,36,0
380000,1,3,2,30,1
80000,2,2,2,43,0
50000,1,1,3,58,0
180000,1,2,3,45,1
240000,2,2,2,26,0
380000,1,2,2,34,0
110000,2,4,2,24,0
260000,1,3,3,34,0
500000,2,2,2,23,1
320000,2,2,2,30,0
50000,1,2,2,32,0
110000,1,3,3,40,1
230000,2,3,2,35,0
330000,2,2,3,56,0
50000,2,2,3,61,0
10000,1,2,2,24,0
300000,1,3,3,40,0
20000,2,2,3,32,1
180000,1,2,3,36,1
160000,1,3,2,30,0
90000,2,3,2,34,0
30000,1,1,1,54,0
180000,1,3,3,46,0
30000,1,1,3,58,0
30000,1,2,3,43,0
140000,2,3,2,28,0
210000,1,3,2,30,0
50000,1,2,2,31,1
130000,2,2,2,29,0
50000,2,2,3,37,1
140000,1,1,3,36,0
170000,2,2,2,28,1
80000,1,2,2,25,0
410000,2,4,3,42,0
80000,2,3,2,29,0
80000,1,1,3,73,1
150000,1,2,3,43,0
260000,1,3,3,30,1
350000,1,3,3,38,0
280000,2,2,3,39,1
310000,1,2,3,44,0
140000,2,2,2,29,0
360000,1,3,3,51,0
140000,2,3,2,27,0
100000,1,3,2,38,0
50000,2,2,2,22,0
210000,2,2,3,30,0
120000,2,2,2,25,0
240000,1,3,2,29,0
60000,2,1,1,42,0
150000,1,3,2,41,1
30000,1,2,3,48,0
160000,2,3,2,29,1
200000,1,3,3,52,0
120000,2,2,3,25,0
500000,1,3,3,37,0
320000,2,3,2,27,0
280000,1,3,2,31,0
60000,2,3,2,23,1
200000,2,3,3,38,0
230000,2,3,3,32,0
230000,2,2,2,27,1
480000,2,1,3,41,0
50000,2,1,3,35,0
200000,2,3,2,31,0
50000,2,3,2,30,0
50000,1,2,3,48,0
260000,2,3,2,36,1
30000,1,3,2,24,0
440000,2,3,2,29,0
230000,2,2,2,38,0
200000,1,2,3,38,1
490000,2,2,3,30,0
80000,2,2,3,32,0
20000,2,1,2,49,1
170000,2,3,2,31,1
70000,1,3,2,27,0
210000,2,2,2,33,0
90000,2,2,2,25,0
390000,2,3,2,27,1
110000,2,3,2,29,0
580000,2,3,3,36,0
360000,1,1,3,55,0
270000,2,2,3,32,1
60000,2,3,2,27,0
110000,1,1,3,37,0
50000,2,3,3,25,0
80000,2,3,2,23,1
50000,1,2,2,23,0
100000,1,3,2,32,0
30000,2,3,2,26,0
200000,2,3,2,27,0
240000,1,3,2,44,1
220000,1,2,2,34,0
160000,2,3,2,28,0
180000,2,3,3,53,0
200000,1,4,3,42,0
140000,2,1,3,30,0
380000,1,3,3,51,1
600000,1,3,3,53,1
260000,1,2,2,37,0
200000,2,3,2,26,0
80000,1,2,2,42,0
40000,1,2,2,39,0
130000,1,1,2,39,0
50000,1,3,2,32,0
230000,2,2,3,41,0
70000,1,2,3,48,1
180000,2,2,3,38,0
80000,2,2,3,36,0
290000,2,2,2,26,0
230000,2,3,2,28,0
170000,2,1,1,56,0
230000,1,3,3,59,1
220000,1,3,2,38,1
230000,1,2,2,32,0
500000,1,2,3,38,0
90000,2,3,3,41,0
390000,2,1,2,35,1
400000,2,2,2,41,0
180000,1,2,3,34,0
60000,1,1,3,38,0
120000,2,2,3,32,0
60000,2,2,2,29,0
50000,1,3,2,44,0
70000,2,2,3,37,0
500000,2,3,3,38,0
200000,1,3,2,31,0
250000,2,2,3,40,0
140000,1,2,2,26,1
70000,2,2,2,28,0
90000,1,1,3,48,0
100000,2,2,3,43,0
190000,1,2,3,31,0
230000,2,3,3,42,0
320000,1,2,3,39,0
220000,2,2,3,36,1
260000,2,3,3,34,0
90000,2,2,2,32,0
30000,2,2,3,43,0
260000,1,2,2,30,0
170000,2,2,2,28,0
80000,2,3,3,28,1
50000,1,3,3,41,0
200000,2,1,2,47,0
20000,1,2,2,23,0
250000,2,3,3,49,0
20000,1,3,3,38,0
30000,2,2,3,38,0
90000,2,2,3,35,0
230000,2,4,2,46,0
130000,2,3,3,33,1
30000,1,4,3,53,0
160000,1,3,2,35,0
500000,2,2,2,43,0
180000,2,2,2,28,0
80000,2,2,3,30,0
120000,1,3,2,26,0
130000,1,2,3,31,0
120000,2,2,2,35,1
360000,1,3,2,28,0
50000,1,2,2,23,1
20000,2,2,2,23,0
100000,1,1,3,56,0
70000,1,1,3,32,0
50000,1,2,3,47,0
10000,2,2,2,22,0
290000,2,3,3,34,0
30000,2,3,3,31,0
410000,2,2,2,27,0
360000,1,3,2,28,1
140000,2,2,3,42,1
210000,2,3,2,32,0
220000,2,2,2,27,0
20000,1,2,2,27,0
620000,2,2,3,45,1
360000,1,3,2,26,0
20000,2,2,2,21,0
50000,1,2,2,23,0
50000,1,2,1,30,0
10000,1,2,2,46,1
100000,2,1,3,50,1
50000,1,3,2,26,0
60000,1,2,2,25,0
440000,2,3,2,35,0
120000,1,2,3,44,0
50000,2,3,2,52,0
110000,2,2,3,40,0
200000,2,3,2,38,0
150000,2,3,2,28,0
30000,2,2,3,36,1
100000,2,3,2,24,0
360000,2,3,3,34,0
390000,2,3,2,31,0
220000,2,3,3,41,1
160000,2,2,2,25,0
230000,2,3,2,28,0
120000,1,3,2,27,0
100000,1,1,3,52,1
190000,2,3,2,41,1
50000,1,3,3,56,1
240000,2,3,3,42,0
40000,2,2,2,24,0
630000,2,2,3,47,0
160000,2,3,3,33,0
110000,2,2,2,32,0
20000,1,2,2,29,0
210000,2,1,3,53,0
270000,1,3,2,34,0
360000,2,2,2,52,0
60000,2,2,3,42,0
360000,1,2,2,38,0
390000,2,3,2,45,0
250000,2,1,2,35,0
90000,2,3,2,24,1
360000,1,3,2,28,0
50000,1,1,2,26,0
270000,2,3,3,40,0
200000,2,3,2,29,0
50000,2,2,2,23,0
350000,1,3,2,33,0
160000,2,2,2,60,1
80000,2,1,3,49,0
290000,1,3,3,53,1
270000,2,3,2,28,0
80000,1,3,2,31,0
50000,1,2,2,36,0
30000,1,2,3,35,0
30000,1,2,2,28,1
90000,1,2,2,33,0
160000,1,3,2,26,0
80000,2,1,2,53,0
50000,1,2,2,42,0
20000,2,3,2,25,0
220000,1,3,3,43,1
210000,1,1,2,25,1
130000,2,2,2,29,0
260000,2,2,3,31,0
230000,2,3,3,30,0
160000,1,3,2,34,0
50000,1,3,3,35,0
80000,1,2,3,32,0
110000,1,1,2,46,0
200000,1,3,3,43,0
360000,1,2,2,29,0
210000,2,1,2,31,0
80000,2,2,2,24,0
300000,2,2,3,36,1
310000,2,2,3,43,0
30000,1,1,3,59,1
170000,1,3,3,53,0
140000,2,2,2,28,0
180000,2,2,2,31,0
50000,1,3,2,34,0
50000,2,2,3,36,0
110000,2,3,2,24,0
450000,2,1,3,36,0
200000,2,2,3,34,0
220000,1,3,2,43,0
360000,2,3,2,29,1
50000,1,2,3,37,0
40000,1,2,2,23,0
190000,2,2,3,37,0
150000,1,3,2,33,0
200000,2,3,3,37,0
270000,2,2,3,56,0
60000,1,3,2,25,0
200000,2,2,3,39,0
150000,2,2,3,39,0
180000,2,2,2,28,0
90000,2,3,2,27,0
360000,2,2,3,37,0
90000,2,3,2,24,0
20000,2,2,2,24,0
70000,1,3,3,46,0
230000,1,3,3,39,0
30000,1,1,3,48,0
200000,2,1,1,45,0
100000,1,1,2,49,0
50000,2,2,2,23,0
20000,2,1,3,25,0
210000,2,2,3,47,0
110000,1,1,3,56,0
20000,2,1,3,44,0
50000,2,1,3,49,0
50000,1,2,3,41,0
400000,2,3,2,40,0
170000,1,2,2,31,0
280000,1,2,3,42,0
130000,2,1,3,28,0
210000,2,2,2,32,0
370000,1,2,2,28,0
30000,2,2,3,31,0
150000,1,1,2,39,0
60000,1,1,3,31,1
80000,2,2,2,24,0
280000,2,2,3,44,1
20000,2,2,2,46,0
270000,1,3,2,32,0
240000,2,2,2,26,0
20000,2,3,2,22,0
450000,2,3,3,42,1
10000,1,2,2,33,0
280000,1,2,3,39,1
290000,2,1,2,27,0
190000,2,3,2,28,1
80000,2,3,2,23,0
280000,2,2,2,28,0
160000,2,3,3,33,0
90000,1,2,3,40,1
140000,2,3,2,37,0
50000,1,3,2,22,0
40000,2,2,3,32,0
130000,2,1,3,43,0
70000,2,1,3,27,0
30000,2,2,3,35,0
100000,2,1,3,35,0
20000,2,3,3,30,1
30000,2,2,2,34,0
20000,1,2,3,34,1
100000,2,3,2,28,1
30000,1,2,2,25,1
320000,2,3,3,41,0
90000,1,1,2,42,1
190000,1,2,2,40,1
200000,1,3,2,28,0
300000,2,2,2,31,0
30000,2,3,2,56,0
110000,2,2,1,45,0
230000,2,3,2,29,0
230000,2,3,3,35,0
310000,2,2,2,28,0
320000,1,3,3,40,0
360000,1,3,3,47,0
20000,2,1,3,41,1
170000,2,2,2,27,0
140000,1,3,3,40,0
80000,1,2,2,32,0
150000,1,2,2,35,0
170000,1,2,2,27,0
200000,2,2,3,29,1
70000,1,3,2,30,0
320000,1,2,3,37,0
150000,2,3,2,29,0
50000,2,3,3,34,0
90000,2,2,2,34,0
280000,1,3,3,41,0
300000,2,3,2,31,0
400000,2,2,2,40,0
200000,2,3,3,27,0
10000,2,1,2,22,1
50000,2,2,1,30,1
30000,2,2,1,22,0
50000,1,3,2,26,1
50000,1,2,3,38,0
30000,2,1,3,46,0
20000,1,2,2,24,0
20000,1,2,2,49,0
50000,1,3,1,49,0
30000,2,2,3,42,0
360000,2,3,3,30,0
170000,1,2,3,42,0
400000,2,3,2,31,0
50000,2,2,3,49,0
160000,2,2,2,27,0
70000,2,2,3,33,1
150000,2,3,3,35,0
80000,2,2,2,48,0
30000,2,2,2,22,0
10000,1,2,2,22,1
180000,2,3,2,27,0
320000,1,3,3,47,0
80000,2,2,2,34,0
10000,1,2,3,45,1
360000,2,2,2,39,0
450000,1,2,2,33,0
330000,2,2,2,29,0
60000,1,3,2,29,1
50000,2,1,2,26,0
200000,1,2,3,38,0
120000,1,3,2,34,0
160000,2,3,3,37,0
110000,1,2,3,57,0
70000,2,1,3,50,0
150000,2,1,2,28,0
610000,2,3,2,31,0
110000,2,3,2,25,0
80000,2,2,2,25,1
170000,2,2,3,33,0
110000,2,3,2,30,0
140000,2,3,3,51,0
70000,1,3,2,51,0
260000,2,2,3,46,0
170000,1,1,2,38,0
50000,2,2,3,34,0
300000,2,1,3,34,1
150000,2,3,2,31,1
50000,2,2,2,25,1
50000,2,2,3,26,0
90000,2,3,2,25,0
50000,1,2,2,26,1
500000,2,2,2,43,0
470000,2,2,3,36,0
230000,1,2,2,58,0
140000,2,2,2,26,0
230000,2,2,3,30,1
420000,2,2,2,31,0
30000,2,2,2,24,0
50000,2,2,2,52,1
140000,2,2,2,24,0
260000,2,2,3,35,0
90000,2,1,2,29,0
240000,2,2,3,33,0
510000,2,3,2,35,0
110000,2,2,3,35,0
210000,2,3,2,28,0
220000,1,2,3,40,0
200000,2,3,3,35,0
360000,2,2,2,53,0
260000,1,3,2,44,0
20000,1,2,3,33,0
120000,2,2,3,32,0
50000,2,3,2,33,0
60000,2,3,2,26,0
200000,1,3,2,26,0
20000,1,2,2,26,0
50000,2,3,3,32,1
50000,2,2,2,31,0
230000,1,3,2,29,0
50000,1,2,3,27,0
100000,2,3,2,28,1
210000,2,3,3,42,1
230000,2,2,3,32,1
500000,2,3,2,26,0
370000,2,3,2,38,0
230000,2,3,3,35,0
80000,1,2,2,29,0
60000,2,2,2,29,0
30000,2,2,2,51,0
70000,1,3,2,27,0
410000,1,3,2,32,0
280000,2,1,3,40,0
50000,2,3,3,34,0
100000,2,2,3,30,0
230000,2,3,2,29,0
50000,2,3,2,22,0
100000,2,3,2,48,0
210000,2,2,3,35,0
400000,1,3,2,37,0
20000,1,2,2,25,1
50000,2,1,3,44,0
230000,2,3,2,28,0
220000,1,2,2,29,0
300000,2,3,3,36,0
80000,2,2,2,23,0
20000,2,1,2,36,1
190000,2,3,2,26,0
160000,2,2,4,37,0
120000,2,3,1,44,0
700000,2,3,3,39,0
140000,2,3,2,24,0
300000,2,1,3,29,0
120000,1,1,3,33,1
280000,2,2,3,39,0
70000,1,1,3,51,1
20000,2,1,2,24,0
150000,2,2,3,45,0
60000,1,3,2,30,0
200000,2,1,4,51,0
50000,2,2,2,24,1
150000,1,2,3,50,0
20000,2,3,2,22,0
40000,1,3,2,27,1
170000,2,2,2,33,0
50000,2,2,3,24,0
10000,1,2,2,37,0
200000,2,2,3,58,0
50000,2,2,3,48,0
320000,1,3,2,28,0
20000,2,1,3,24,0
470000,2,2,3,27,1
230000,2,1,2,30,0
20000,2,3,2,23,0
30000,2,1,2,53,1
80000,2,2,2,23,0
110000,2,2,3,55,0
420000,1,2,3,34,0
500000,1,3,3,43,1
80000,2,2,2,22,0
350000,2,2,3,31,0
30000,2,2,3,32,0
110000,2,2,2,33,1
500000,1,1,3,39,0
490000,2,3,3,38,0
300000,2,2,3,34,0
50000,1,2,1,42,1
150000,1,1,3,37,1
80000,2,1,3,57,0
40000,2,2,2,23,0
30000,1,2,2,32,0
50000,1,3,3,37,0
140000,2,2,2,23,0
50000,2,1,2,49,0
30000,2,2,2,25,0
40000,2,3,2,29,1
100000,2,1,3,43,1
130000,1,2,2,29,0
20000,2,2,2,27,0
50000,1,3,2,26,0
260000,1,3,3,41,0
30000,2,1,2,52,1
10000,2,2,3,31,0
200000,1,3,2,32,0
30000,2,2,3,46,0
180000,2,2,2,35,0
100000,1,3,2,35,0
140000,2,2,3,39,0
290000,2,2,2,34,0
20000,2,2,1,52,0
80000,2,1,3,40,0
500000,2,1,3,38,0
180000,1,3,3,45,0
20000,2,1,3,40,0
30000,2,2,3,25,0
150000,1,3,2,33,0
280000,2,2,2,27,0
50000,2,2,3,43,0
20000,2,2,3,43,0
200000,1,3,2,30,0
210000,2,2,3,49,1
230000,2,3,2,38,0
50000,1,1,2,57,0
50000,1,1,2,55,1
70000,2,2,2,23,0
310000,1,3,2,30,0
180000,2,2,3,30,0
90000,2,2,2,24,0
390000,1,2,2,28,0
150000,2,1,3,34,0
400000,1,2,2,37,0
80000,2,2,3,32,0
320000,1,3,2,27,0
240000,2,2,3,37,1
200000,1,3,2,31,0
110000,1,3,1,55,1
170000,2,3,2,28,1
90000,2,1,1,51,1
200000,1,3,3,36,0
360000,1,3,2,30,0
140000,2,3,3,36,0
220000,1,2,2,25,0
100000,1,1,3,50,0
80000,2,2,2,40,0
30000,2,2,2,27,0
50000,1,3,2,30,1
120000,2,2,2,26,0
50000,1,3,2,27,0
360000,2,3,2,27,0
90000,2,3,2,25,0
500000,1,3,2,32,0
140000,2,1,3,46,0
30000,1,1,3,45,0
70000,1,1,3,30,0
200000,1,3,3,39,0
350000,1,3,3,48,0
120000,1,3,2,32,1
240000,1,3,2,46,0
90000,2,3,2,23,0
260000,2,3,2,33,0
50000,2,3,2,24,0
110000,1,3,3,40,0
20000,2,3,2,24,0
30000,2,2,2,24,0
180000,1,3,2,27,1
20000,1,2,3,46,0
50000,2,2,2,22,0
180000,2,3,2,36,0
200000,1,3,3,34,0
260000,2,2,2,24,0
320000,1,3,3,60,1
160000,2,2,2,29,1
30000,1,2,2,32,1
50000,2,2,3,36,0
50000,1,2,2,30,0
90000,2,2,2,29,0
240000,1,3,2,34,0
180000,2,2,3,32,1
200000,2,2,3,32,0
50000,2,3,2,25,0
50000,1,2,3,44,0
330000,2,3,3,37,0
80000,2,2,2,24,1
50000,2,2,2,23,0
360000,2,3,2,29,0
240000,2,2,3,37,0
50000,1,2,3,59,0
470000,1,2,2,33,0
160000,2,1,3,51,0
30000,1,3,3,27,1
80000,2,2,3,32,0
500000,2,1,2,42,0
180000,1,2,2,39,0
110000,2,2,3,46,0
160000,1,3,3,41,0
210000,2,2,2,30,0
200000,2,3,3,34,1
350000,1,3,2,35,0
250000,1,3,2,41,1
380000,1,3,2,43,1
30000,1,2,2,47,0
200000,1,2,2,31,0
30000,1,2,2,30,0
50000,1,2,2,24,0
500000,1,3,3,36,0
30000,1,3,2,28,0
220000,2,3,3,36,0
20000,2,2,3,27,0
180000,2,2,3,32,0
300000,1,3,3,42,1
130000,2,2,3,33,0
180000,2,1,3,39,1
150000,2,3,1,30,0
140000,1,2,3,30,1
50000,2,2,2,22,0
20000,1,2,2,25,1
180000,1,3,2,28,0
180000,1,2,2,26,1
150000,2,1,3,54,0
70000,2,3,2,24,0
30000,1,2,2,29,0
500000,1,3,2,36,1
60000,1,1,3,49,0
50000,2,3,2,23,0
130000,1,1,2,43,1
260000,2,2,3,33,0
380000,1,1,3,53,0
360000,2,2,2,25,0
50000,1,1,3,54,0
50000,2,1,3,39,0
260000,2,3,3,44,1
80000,2,2,2,27,0
360000,2,3,2,25,1
290000,2,3,2,29,1
200000,1,3,2,39,0
140000,1,3,3,45,0
360000,1,3,3,38,1
50000,2,2,2,23,1
120000,1,2,2,25,0
100000,1,2,3,29,0
200000,2,2,3,28,0
90000,2,2,3,40,0
360000,1,3,2,36,1
150000,2,1,2,30,1
140000,1,3,2,29,0
200000,2,2,2,36,0
170000,2,2,3,37,0
30000,1,2,2,34,0
80000,2,3,2,27,0
280000,1,3,2,31,0
410000,2,3,3,31,0
450000,1,3,2,38,0
80000,1,2,2,36,0
360000,1,3,3,46,0
130000,2,3,3,36,0
160000,2,3,2,26,1
140000,2,1,2,57,1
240000,2,1,3,40,0
180000,2,1,4,45,0
70000,1,3,1,57,0
150000,2,2,2,25,0
210000,2,1,3,37,0
200000,2,3,3,35,0
310000,1,2,2,33,0
180000,1,3,3,38,0
300000,1,2,2,31,0
450000,2,3,2,41,0
200000,1,3,2,33,0
30000,2,2,3,67,1
400000,2,3,3,40,0
170000,1,3,2,33,0
140000,2,3,2,31,1
200000,2,2,2,35,0
60000,2,2,1,39,0
60000,1,2,2,27,1
150000,1,3,2,23,0
180000,1,1,3,54,1
50000,2,1,2,23,0
50000,1,1,2,24,0
20000,1,2,2,26,0
230000,2,2,2,52,1
110000,2,2,3,42,0
90000,2,3,2,36,0
20000,2,3,2,22,1
30000,2,3,2,23,0
220000,1,1,3,30,1
140000,2,1,2,24,1
300000,2,3,3,42,0
100000,1,2,3,49,0
110000,1,2,2,31,0
270000,2,1,2,33,0
30000,1,3,3,42,0
70000,1,1,2,41,0
230000,1,2,3,53,0
20000,1,2,2,23,0
190000,2,3,2,33,0
20000,2,2,3,29,0
80000,2,1,3,67,0
20000,1,1,3,33,1
60000,2,1,3,34,1
50000,1,2,3,49,0
280000,2,2,3,56,1
300000,1,3,3,42,0
30000,2,1,3,55,1
270000,2,2,3,25,0
100000,1,1,2,30,0
240000,1,2,2,43,1
200000,1,3,2,40,0
110000,2,3,2,35,0
