LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_BILL,AUGUST_BILL,JULY_BILL,JUNE_BILL,MAY_BILL,APRIL_BILL,DEFAULTED
150000,2,3,2,29,7,9,9,9,9,9,46224,34993,31434,26518,21042,16540,0
500000,2,3,3,45,11,11,11,11,11,11,1905,3640,162,0,151,2530,0
180000,2,1,3,34,9,9,9,10,10,10,16386,15793,8441,7142,-679,8321,0
180000,2,2,3,34,9,9,9,9,9,9,175886,173440,172308,168608,132202,129918,0
200000,2,3,2,34,10,6,7,7,7,7,1587,1098,782,1166,700,1414,0
400000,2,2,3,29,9,9,9,9,9,9,400134,398857,404205,360199,356656,364089,0
500000,2,1,3,28,9,9,9,9,9,9,22848,23638,18878,14937,13827,15571,1
70000,1,2,3,39,9,9,9,9,9,10,70800,72060,69938,16518,14096,830,0
50000,1,3,2,29,7,7,7,7,7,7,24987,24300,26591,25865,27667,28264,1
50000,2,2,3,46,9,9,9,11,11,11,28718,29166,0,0,0,0,1
130000,2,2,3,51,10,10,11,11,10,10,99,0,0,0,2353,0,0
200000,1,3,3,57,11,11,11,10,7,7,152519,148751,144076,8174,8198,7918,1
10000,1,2,3,56,7,7,7,9,9,9,2097,4193,3978,4062,4196,4326,1
210000,2,3,2,30,7,10,10,10,10,10,300,300,1159,2280,300,4250,0
130000,2,1,2,29,8,11,11,10,7,10,-190,-9850,-9850,10311,10161,7319,0
20000,1,4,2,22,7,9,9,9,9,9,18565,17204,17285,18085,11205,5982,0
80000,1,3,2,31,10,10,10,10,10,10,780,0,390,390,390,390,0
320000,1,2,2,29,7,7,7,7,7,7,58267,59246,60184,58622,62307,63526,1
200000,2,2,3,32,10,10,10,10,7,10,9076,5787,-684,5247,3848,3151,0
290000,2,3,2,37,8,11,10,10,10,10,0,0,3155,0,2359,0,0
340000,1,3,2,32,10,10,10,10,10,10,3048,5550,23337,4291,80153,25820,0
20000,1,2,2,24,9,9,7,9,9,9,14619,17216,16642,16976,17332,18543,0
50000,1,1,2,25,10,9,9,9,9,9,42838,37225,36087,9636,9590,10030,0
300000,2,3,3,45,10,10,10,10,10,10,291,291,291,291,291,291,0
30000,2,2,2,22,9,9,9,9,9,9,28387,29612,30326,28004,26446,6411,1
240000,2,2,2,44,8,11,11,11,11,11,0,0,0,0,0,0,1
470000,2,1,1,33,9,9,9,9,9,9,165254,157784,162702,69923,29271,29889,0
360000,2,3,2,26,9,9,9,9,9,10,23411,27796,30400,33100,180000,196,0
60000,1,1,2,30,9,9,9,9,9,9,26324,27471,28108,21993,19899,19771,1
400000,2,2,3,44,9,9,7,9,9,9,131595,139060,126819,104430,104990,94058,0
50000,2,1,2,49,9,9,9,9,9,9,48909,47863,21489,20414,19342,19482,0
160000,1,2,2,33,9,9,9,9,9,9,130028,107808,71934,118418,118407,120418,0
360000,2,3,3,45,10,10,7,9,10,10,390,1170,780,390,390,390,1
160000,2,2,2,32,9,9,9,9,9,10,3826,4751,6604,8604,7072,766,0
130000,2,3,3,35,9,9,9,10,10,10,81313,117866,17740,1330,7095,1190,0
20000,1,1,2,44,7,7,9,9,9,7,8583,8303,9651,10488,12314,11970,0
200000,1,3,3,53,7,7,7,7,7,7,138180,140774,142460,144098,147124,149531,1
280000,2,3,2,39,10,10,10,9,9,11,7524,0,3968,3868,0,0,0
100000,2,3,2,27,11,11,11,11,11,11,-2000,5555,0,0,0,0,0
160000,2,2,3,37,10,10,10,10,10,11,880,1602,840,840,0,0,0
60000,2,2,2,23,9,9,9,9,9,9,45648,46850,47214,19595,19209,19323,0
90000,1,2,2,35,9,9,9,9,9,9,83725,85996,87653,35565,30942,30835,0
360000,1,3,3,43,10,10,10,10,10,9,3967,8322,3394,6451,26370,9956,0
150000,1,3,2,27,9,9,9,9,9,9,86009,86108,89006,89775,87725,40788,0
50000,2,1,3,22,9,9,9,9,9,9,18722,18160,16997,13150,8866,7899,0
20000,1,2,3,38,9,9,9,9,9,10,17973,19367,19559,18240,17928,150,1
140000,1,3,2,32,11,11,11,11,11,11,672,10212,850,415,100,1430,0
380000,2,3,2,30,11,11,10,9,9,9,-81,-303,32475,32891,33564,34056,0
480000,1,3,3,63,9,9,9,7,7,9,422069,431342,479432,487066,471145,469961,0
50000,2,1,2,22,9,9,9,9,9,9,44698,42254,38347,32496,23477,24094,1
60000,2,2,2,26,7,7,7,7,7,9,56685,55208,59175,60218,55447,55305,0
70000,2,2,2,24,10,10,11,11,11,10,5580,0,0,0,0,26529,0
80000,2,2,3,36,10,10,10,10,10,10,6108,2861,3277,3319,1150,1150,0
350000,1,3,2,52,10,10,10,10,10,10,713,2272,722,867,1150,5263,0
130000,1,2,2,38,9,9,9,10,10,10,171438,178382,39940,120483,44127,126568,0
360000,1,2,3,35,8,11,11,11,11,11,-103,-103,-103,-103,-103,-103,0
330000,2,3,3,31,9,9,7,9,9,9,105879,108431,105594,105896,106491,107289,0
50000,1,1,3,47,9,9,7,9,9,9,13244,14722,15181,15928,16671,17393,0
280000,1,2,3,41,7,7,7,7,7,6,135673,138532,134813,144401,152174,149415,0
100000,2,3,2,24,9,9,9,9,9,9,52128,52692,54477,56076,60100,59713,0
50000,1,2,2,41,9,9,9,9,9,9,19015,19294,20259,20274,20311,19957,0
30000,1,3,2,24,10,7,9,9,6,7,18199,17618,18631,21319,20692,21201,1
240000,1,3,2,28,10,10,10,10,10,10,326,326,326,5676,476,326,0
80000,1,2,2,26,7,9,9,9,9,9,14029,15493,16630,17055,17629,18186,1
400000,1,2,3,34,10,10,10,10,10,10,19660,9666,11867,7839,14837,7959,0
240000,2,2,2,38,9,9,9,9,10,10,50254,51445,53015,52479,1307,1203,0
50000,1,1,2,37,7,7,7,6,7,7,46004,45976,48953,48851,49318,51143,1
450000,1,3,3,40,8,11,11,11,11,11,0,0,0,0,0,0,1
110000,2,3,3,48,8,11,11,11,11,11,0,0,0,0,0,0,0
310000,2,2,3,35,7,9,9,9,9,9,304991,311243,306314,258610,246491,198889,1
20000,1,3,2,27,9,9,9,9,9,9,19115,18962,19298,19378,19717,15630,0
20000,1,2,2,23,8,11,11,11,11,11,0,0,0,0,0,0,0
200000,1,1,2,52,9,9,9,9,9,9,110151,99530,98951,100914,103146,104993,0
180000,1,3,3,36,9,9,9,9,9,9,163736,116422,99278,95766,97753,95927,1
50000,1,2,3,51,9,9,9,9,9,9,3347,3899,4503,5347,6375,7077,1
60000,1,1,3,55,6,7,7,9,9,9,60521,61450,57244,28853,29510,26547,0
30000,2,3,2,23,8,11,11,11,10,10,4000,5645,3508,-27,13744,5906,0
240000,1,3,2,41,8,10,10,9,9,10,95,2622,3301,3164,360,1737,0
420000,1,2,3,34,9,9,9,9,9,9,253454,247743,229049,220951,210606,188108,0
330000,1,1,3,46,9,9,9,9,9,9,227389,228719,229644,227587,227775,228203,0
30000,2,2,2,22,9,9,9,9,9,9,28452,26145,26712,25350,17603,-780,0
240000,1,2,3,34,9,9,9,7,7,7,10674,12035,13681,13269,14158,13891,0
150000,1,3,2,27,9,9,9,9,9,9,17444,19342,22000,24614,27200,30229,0
210000,2,2,3,33,9,9,9,9,9,9,7166,7997,8792,9189,4404,5708,0
50000,2,1,3,51,10,10,10,10,11,11,752,300,5880,0,0,0,1
50000,1,3,2,24,9,9,9,9,9,9,50801,50143,49586,19430,19375,18995,0
240000,1,3,2,47,8,11,11,11,11,11,0,0,0,0,0,0,1
180000,1,2,2,28,10,10,10,10,10,10,1832,0,832,332,416,416,0
50000,1,2,2,23,8,7,7,7,9,9,10131,10833,20583,19996,19879,18065,0
170000,1,2,2,29,11,11,11,11,11,11,12159,10000,10000,10000,9983,15846,0
20000,1,3,2,29,10,10,10,10,9,10,1199,15586,344,2340,6702,339,0
50000,1,3,2,28,9,9,9,9,9,6,4999,5913,7315,9195,10624,10138,0
170000,2,2,2,27,9,9,9,9,9,9,19269,20313,20852,17560,17918,9100,1
200000,1,3,2,34,8,7,9,9,9,9,197236,176192,93069,135668,132233,59875,0
80000,2,2,3,23,8,7,6,7,9,9,9168,10522,10205,9898,10123,12034,0
260000,2,3,3,60,8,11,10,10,10,10,-1100,-1100,21400,0,969,869,0
140000,1,2,3,32,9,9,9,9,7,9,86627,78142,68336,64648,58319,55251,0
80000,1,3,2,25,9,9,9,9,9,9,42444,55744,43476,41087,41951,31826,0
350000,1,3,2,41,8,10,10,10,10,11,208,2906,1000,630,0,0,0
280000,2,2,3,56,9,9,9,9,9,9,208775,182350,132257,101783,177145,169311,0
30000,2,1,2,26,9,9,9,9,9,9,9014,10406,11427,11935,13084,14206,0
140000,1,3,3,34,9,9,9,9,9,9,23944,28049,32073,43129,47086,48699,0
200000,2,3,2,37,9,9,9,9,9,9,105420,102870,89643,90938,92505,94031,0
200000,2,1,2,30,9,9,9,9,9,9,196031,196143,189524,167163,146975,122324,0
210000,1,1,3,45,7,6,5,5,4,3,115785,122904,129847,137277,145533,154105,1
50000,1,1,3,57,6,7,9,9,9,9,12854,12362,13447,13427,13711,14083,0
30000,1,3,2,41,7,7,7,7,7,9,24357,27453,26718,28168,27579,28321,0
50000,1,2,2,27,7,10,10,10,10,7,390,390,780,216,1080,540,0
290000,1,1,3,47,10,10,10,10,9,10,1234,396,396,792,396,423,0
250000,2,3,3,34,9,9,7,9,9,9,141223,156858,151841,152803,155997,160220,0
60000,2,2,3,46,9,9,9,9,9,9,21148,23803,24908,26034,26655,27756,0
110000,2,3,2,27,9,9,9,9,9,9,101640,104795,104855,74737,76058,77254,0
370000,1,3,2,50,11,11,11,11,11,11,6093,15130,8204,15398,4792,13453,0
100000,1,2,3,27,10,7,7,9,9,9,102349,96847,58824,29336,22979,-246,0
90000,2,2,3,35,9,9,9,9,9,7,72112,73854,75526,77317,85852,88290,0
50000,2,2,2,22,9,9,9,9,9,9,28040,29092,29366,27737,28318,28806,0
270000,1,2,2,37,9,9,9,9,9,9,37695,33397,30534,27598,26344,24641,0
300000,2,3,2,30,10,10,10,10,10,10,688,3280,0,4340,2672,800,0
50000,2,2,2,22,10,9,9,9,9,9,8567,15273,11650,7457,3115,7725,0
50000,2,3,2,24,8,11,11,11,11,11,-709,-709,-709,-2898,-3272,-3272,1
360000,1,3,2,29,8,11,10,10,11,11,0,0,77,0,0,0,0
130000,1,1,3,56,8,7,7,7,7,6,64617,65978,67282,68557,72796,71345,1
80000,1,3,2,30,11,10,9,9,9,9,6187,100,600,1438,1919,5380,0
50000,1,2,2,30,8,7,9,9,9,7,48860,47801,48363,30221,22877,22361,0
20000,2,2,2,22,9,9,9,9,9,9,16001,12622,13221,13130,14034,14906,0
80000,2,2,3,29,9,9,7,9,9,9,77883,81811,80250,61467,10662,11486,0
240000,1,3,2,37,10,10,7,9,9,10,12212,26578,25331,26605,26279,1256,0
80000,2,1,2,35,9,10,9,9,9,9,49608,12412,14873,17364,17770,17460,0
500000,2,3,3,47,9,9,9,9,9,9,56422,110616,110340,122967,108834,70064,0
60000,2,2,3,24,9,9,9,9,9,9,58024,57891,48839,18971,19323,19395,1
20000,1,2,2,25,9,9,9,9,9,10,10642,11677,13070,12280,1615,1620,0
100000,2,2,3,38,8,7,9,9,7,9,14483,13961,15323,16268,15868,16448,1
360000,2,3,2,32,8,10,10,10,10,10,2616,57077,5287,68445,13881,16240,0
200000,2,1,2,47,7,7,7,7,7,7,199436,202947,193936,196186,200162,189915,1
130000,2,2,3,34,8,10,9,9,9,9,0,5396,10270,13576,13864,14636,0
20000,2,2,2,31,8,4,5,5,6,7,21703,21087,21461,20835,20219,20487,0
310000,1,3,2,32,9,9,9,9,9,9,59901,62147,62102,65875,60387,43328,0
60000,2,3,2,27,7,9,9,9,7,9,19625,20347,21669,23005,22499,22873,1
180000,2,3,2,29,10,10,10,11,10,9,11386,199,0,0,17227,17042,0
180000,2,3,2,24,10,10,7,9,9,11,14670,22087,21282,10200,0,0,0
50000,1,2,3,36,9,9,9,9,10,10,47790,18114,18250,-14,72,658,0
50000,2,3,2,24,8,7,7,7,7,7,36166,37188,37680,38462,39228,40035,1
150000,2,2,3,34,11,11,11,11,11,11,0,0,0,116,0,1500,0
20000,2,3,2,22,9,9,9,9,10,9,18553,19446,19065,8332,18868,19247,0
500000,2,3,3,34,11,11,11,10,10,10,412,138,2299,1251,1206,1151,0
30000,2,1,2,22,8,7,7,9,9,9,29010,29256,28122,29836,1630,0,1
180000,2,3,3,38,11,11,11,11,11,11,750,0,0,0,0,0,0
140000,1,3,2,31,9,9,7,9,9,7,27123,27299,17985,20225,27407,10833,0
140000,2,3,2,26,10,9,10,10,10,10,13424,18000,13001,5818,13506,487,0
120000,1,2,2,26,9,9,9,9,9,9,107314,110578,113736,116000,119131,122135,0
360000,2,2,3,48,9,9,9,9,9,9,226430,231878,234192,190211,173557,146511,0
20000,1,1,3,43,10,10,9,9,9,9,227,20351,20237,19339,19450,19337,0
100000,1,3,3,47,10,10,10,10,10,10,390,1473,390,390,390,0,0
210000,2,2,3,41,10,10,10,10,10,10,3088,1586,343,3763,877,0,1
80000,2,2,2,24,9,9,9,9,9,9,81625,81554,79599,49552,49509,49568,1
330000,2,3,3,50,10,10,10,10,11,11,8872,4337,2854,1690,0,1709,0
220000,1,3,2,24,9,9,9,10,10,10,105607,108917,111520,8303,0,85632,0
210000,2,3,3,38,8,11,10,9,10,10,0,0,250,123,789,1222,1
40000,2,1,3,43,9,9,9,9,9,9,38257,38901,38103,36207,33138,31339,0
30000,1,2,2,39,9,9,9,7,9,9,28347,28108,18388,12992,7736,8032,0
470000,1,2,2,27,7,7,7,7,9,9,296573,303320,307843,479978,305145,309959,0
30000,1,1,3,42,10,10,10,10,10,7,390,390,390,240,1320,780,0
240000,2,2,3,36,8,11,11,11,11,11,-946,-946,-946,-946,-946,-946,1
80000,1,2,2,36,7,9,9,9,9,9,79278,78501,78534,80016,76235,78245,0
110000,2,1,4,31,9,9,9,9,9,9,89989,84229,79288,73315,63818,63208,0
310000,2,3,2,38,10,10,10,10,11,11,1424,4542,126,0,0,0,0
360000,2,3,3,40,7,7,7,9,9,9,105167,115468,112157,114690,117845,120238,1
330000,2,1,2,45,9,9,9,9,9,9,335196,334954,335527,333860,335760,330121,0
300000,2,2,2,35,9,9,9,9,9,9,291619,297268,205629,215827,208464,212508,0
320000,2,2,2,33,9,9,9,9,9,9,91653,94037,108597,65913,43805,33263,0
50000,2,1,2,37,8,6,7,9,9,9,52626,51537,49205,30394,30249,29957,1
170000,2,3,2,28,9,9,9,9,9,9,130370,131199,128900,125514,127280,128839,0
350000,1,1,3,44,10,10,10,10,10,11,3265,2686,1864,569,0,0,0
20000,1,2,3,37,9,9,9,9,9,9,16455,16511,18902,18768,18650,19175,0
50000,1,2,2,23,7,9,9,9,9,9,49758,48456,44116,21247,20066,18858,1
20000,2,1,2,24,8,7,9,9,9,9,19154,18165,17233,7630,1730,0,0
50000,2,3,2,24,9,9,9,9,9,9,35084,35796,30937,19420,10385,1308,0
20000,1,2,2,23,8,7,9,9,7,9,20235,17132,16856,16875,13454,10104,1
50000,1,2,3,26,9,9,11,10,10,9,102800,0,0,2624,45567,46557,0
190000,1,2,2,34,7,9,9,9,7,7,129801,131383,134379,142323,140120,150052,1
60000,2,2,3,33,9,9,9,9,9,9,58203,36367,20934,20694,20175,19421,0
80000,1,3,2,35,10,10,10,10,10,10,7988,3977,6848,1719,1378,19942,0
150000,2,2,2,27,9,9,9,9,9,9,127402,110050,51547,44384,36900,29497,0
210000,2,3,2,31,11,11,11,11,10,10,1440,0,7422,893,6082,2293,0
240000,2,1,3,50,9,9,9,9,9,9,234205,231669,214642,207642,210375,214694,1
140000,2,2,1,41,9,9,9,9,9,9,19346,21708,22940,19068,16409,16383,1
60000,2,3,2,28,8,7,7,11,11,10,21501,20650,0,0,0,2285,0
50000,1,3,2,39,9,9,9,9,9,9,47174,47974,48630,50803,30789,15874,0
50000,2,2,2,27,9,9,9,9,9,9,26655,27724,28676,27990,28790,29399,0
180000,2,3,2,32,10,10,7,7,10,10,3139,5853,2821,0,2821,0,0
30000,2,3,2,40,10,10,7,7,7,7,142,215,139,19,19,79,0
20000,2,2,2,40,9,9,9,9,9,11,19816,20396,20102,19575,0,0,0
250000,2,2,3,75,9,10,10,10,10,10,52874,1631,1536,1010,5572,794,0
100000,2,2,2,27,9,9,9,9,9,9,37767,34457,30036,30337,30997,32904,0
330000,1,3,2,25,9,9,9,9,7,9,46140,45781,48139,51137,39450,25358,0
50000,1,1,3,46,9,9,9,9,9,9,35713,15392,16099,16418,16765,17484,0
50000,2,2,2,26,8,7,7,9,9,9,50867,51486,48869,30115,29527,29998,0
30000,1,2,2,28,9,9,9,9,9,9,29242,29507,29155,25255,22001,0,0
140000,2,2,2,26,9,9,9,9,9,9,101551,105246,104781,105334,107699,106828,1
160000,2,3,2,28,9,9,9,9,10,9,70243,47779,28052,7222,99669,84426,0
400000,2,2,2,29,10,9,10,10,10,10,19532,3719,1453,4944,1896,2486,0
50000,1,2,3,25,9,9,9,9,9,9,27699,28513,29341,29928,29533,28538,0
140000,2,2,3,48,9,10,10,10,10,10,1154,1233,862,1355,1130,21361,0
160000,2,2,3,33,10,10,10,10,9,10,8015,2453,9624,52572,7333,2210,0
100000,2,1,3,43,9,9,11,11,11,11,62170,0,0,0,0,0,0
220000,1,3,3,48,7,9,9,9,9,9,210380,213522,201852,169115,172169,162402,1
510000,2,3,2,29,9,9,9,9,9,9,78331,99414,107686,103776,87265,36739,0
50000,1,2,2,29,9,9,9,9,9,9,49276,35100,32563,27823,29130,28309,0
160000,2,3,3,38,10,10,10,10,7,10,4473,4664,5969,18941,16578,12652,0
230000,2,3,2,37,11,11,11,11,11,11,2283,50815,0,0,299,338,0
80000,2,3,2,37,10,10,10,10,10,10,10115,249,5986,188,1644,16872,0
150000,2,2,3,25,10,10,11,10,10,10,6156,0,0,316,316,316,0
10000,1,1,2,23,9,9,9,9,9,7,6974,7838,9002,9182,9729,9411,0
130000,2,1,2,49,9,9,9,9,9,9,89003,91362,72197,49654,28065,27500,1
40000,2,3,2,48,9,9,9,9,9,9,34871,34449,33634,34586,34762,35673,0
50000,1,2,2,27,6,7,7,9,9,10,13694,14880,14242,13968,14319,2614,1
100000,1,1,2,32,9,9,9,9,9,9,70003,31545,20974,19713,19848,18126,0
120000,1,3,3,34,10,7,10,9,9,9,1082,632,1350,900,450,0,0
260000,2,3,2,58,8,11,11,11,11,11,0,0,0,0,0,0,1
200000,2,2,2,33,9,9,9,9,9,9,11253,12852,14024,14512,16325,11905,0
360000,2,2,2,28,11,11,11,11,11,11,0,0,0,0,0,0,1
70000,2,2,2,36,9,9,9,9,9,9,68699,69120,68376,30163,14310,15085,0
460000,1,3,3,40,7,10,10,10,10,10,171,2715,-13,2641,-10,22535,1
50000,2,3,2,26,10,10,10,10,10,10,1156,316,316,316,316,316,0
50000,1,1,3,33,9,9,9,9,9,9,50859,50462,50654,20046,20067,19703,0
250000,2,2,3,31,9,9,9,9,9,9,103109,102594,97109,99029,100871,101299,0
30000,2,3,2,27,9,9,10,9,9,11,1512,2458,664,1814,0,0,0
270000,1,2,3,44,9,9,9,9,10,10,127543,109189,92630,69669,44149,43414,0
180000,2,1,2,30,9,9,9,9,9,9,163935,153152,147032,122196,103692,70204,0
100000,2,3,2,28,9,9,9,9,9,9,53494,52656,52600,52336,55831,56265,0
230000,2,1,3,32,9,9,9,9,9,9,195126,88743,92195,94814,98182,98457,0
210000,2,3,3,46,10,10,10,10,10,10,110346,41986,21874,20076,16171,586,0
210000,1,3,2,38,7,9,9,9,9,9,60502,62804,62769,62683,63663,46549,0
440000,2,2,3,46,9,9,9,9,9,9,180641,181557,149944,113135,105280,97622,0
100000,2,2,2,25,7,9,9,9,9,9,70896,71678,70125,69856,69718,51365,1
240000,2,2,3,46,9,9,9,9,9,9,8751,9900,10605,10765,11765,4311,0
280000,1,3,2,33,10,10,10,10,10,10,898,898,325,898,325,-339603,1
50000,2,2,2,22,8,11,11,11,11,11,0,0,0,0,0,0,1
30000,1,2,3,43,6,7,7,7,7,7,1700,2610,1914,2182,2000,2566,0
10000,1,2,2,27,9,9,7,9,9,9,7015,10227,9560,9901,9963,10182,1
130000,1,3,2,29,8,11,11,11,11,11,0,0,0,0,0,0,0
200000,1,3,2,31,9,9,9,9,9,9,194353,197344,186292,133345,133634,133990,0
120000,2,2,3,29,10,10,10,10,10,10,1686,657,2179,1423,0,1820,0
210000,2,2,3,36,9,9,9,9,9,9,143225,142996,144415,148190,147993,131629,0
280000,2,3,3,36,9,9,9,9,9,9,58983,60788,63225,29701,30172,30771,0
300000,1,3,2,34,8,11,10,9,10,10,0,0,13001,12601,19595,203,1
100000,1,2,2,37,9,9,9,9,9,9,99209,98222,67185,66926,66796,64513,0
440000,2,3,2,36,11,11,11,11,11,11,0,0,0,0,0,0,0
50000,2,1,3,40,9,9,9,9,9,9,49941,51213,12104,12898,13687,14458,0
20000,2,3,2,25,9,9,7,9,9,9,11968,14564,27820,15824,15761,12510,1
200000,2,3,2,27,10,10,10,9,9,9,871,665,960,4242,4084,7414,0
110000,2,2,2,26,11,11,11,11,11,11,432,3220,5704,1256,1848,400,0
500000,2,2,3,36,10,10,10,10,10,10,10483,23956,0,8500,4590,0,0
300000,2,2,3,27,8,10,10,11,11,11,0,5215,0,0,0,0,0
30000,1,1,3,55,7,7,7,6,6,5,9720,10613,11339,12841,13836,14514,1
60000,2,3,2,27,10,10,10,10,10,10,20847,13801,14366,4889,273,11736,0
400000,2,2,3,38,10,9,10,10,9,10,3697,3600,1354,5322,5103,2077,0
180000,2,2,3,34,9,9,9,9,9,9,143301,146333,147042,127814,130331,132845,0
20000,1,3,2,40,9,9,9,7,9,9,10934,13738,16567,10411,13057,14340,0
200000,2,1,3,49,10,7,7,7,9,9,52439,51040,56205,54723,58657,59983,1
100000,1,3,2,27,9,9,9,9,9,9,55734,52557,33415,28776,17580,6441,0
60000,1,2,2,23,9,9,9,9,9,9,49507,33282,34312,17277,17808,19346,1
110000,2,2,2,36,9,9,9,9,9,9,47819,48947,50330,50894,52175,53652,0
260000,2,1,3,53,8,10,10,11,11,10,0,165,526,452,397,485,0
50000,2,1,3,46,6,7,7,9,9,9,48522,50955,29516,29742,29898,24883,0
180000,1,2,2,29,8,11,11,11,11,11,-2,-2,-2,-2,-2,-2,0
110000,1,2,2,29,8,7,7,9,9,9,58362,56598,51908,48647,47862,47969,1
340000,2,3,2,27,9,9,9,9,9,9,172180,180140,166281,155628,145645,103263,0
50000,1,2,2,24,10,9,9,9,9,9,1399,2441,3865,7476,8384,8085,0
230000,2,2,3,28,9,9,9,11,10,10,26361,18826,1100,2100,767,6173,1
360000,2,2,2,32,9,9,9,9,9,9,93029,94054,91834,95631,100123,100738,0
210000,1,2,2,43,8,11,10,9,9,9,0,0,38013,40555,45075,37056,0
